Country/Territory,Status,PR Rating,CL Rating,A1,A2,A3,A,B1,B2,B3,B4,B,C1,C2,C3,C,Add Q,PR,D1,D2,D3,D4,D,E1,E2,E3,E,F1,F2,F3,F4,F,G1,G2,G3,G4,G,CL,Total
Abkhazia,PF,4,5,3,2,1,6,2,3,2,1,8,1,1,2,4,0,18,2,2,1,3,8,3,2,1,6,1,1,1,1,4,1,1,2,1,5,23,41
Afghanistan,NF,5,6,1,0,1,2,2,2,1,2,7,1,1,1,3,0,12,2,1,1,2,6,2,1,1,4,1,0,0,1,2,0,1,0,1,2,14,26
Albania,PF,3,3,3,3,2,8,3,4,3,3,13,3,2,2,7,0,28,2,4,3,4,13,4,3,2,9,2,2,2,3,9,3,2,2,2,9,40,68
Algeria,NF,6,5,1,1,1,3,1,1,1,1,4,1,1,1,3,0,10,1,1,2,3,7,2,1,2,5,1,1,2,2,6,2,2,2,1,7,25,35
Andorra,F,1,1,4,4,4,12,4,4,4,3,15,4,4,4,12,0,39,3,4,4,4,15,4,4,3,11,4,4,4,3,15,4,4,4,4,16,57,96
Angola,NF,6,6,0,2,1,3,2,1,1,2,6,1,0,0,1,0,10,1,2,2,2,7,1,1,1,3,1,1,0,1,3,1,1,1,0,3,16,26
Antigua and Barbuda,F,2,2,4,4,4,12,3,4,3,3,13,3,2,3,8,0,33,3,4,4,4,15,3,3,3,9,3,3,4,3,13,4,3,3,3,13,50,83
Argentina,F,2,2,4,4,3,11,4,3,4,3,14,3,2,3,8,0,33,3,4,4,4,15,4,4,3,11,2,3,2,3,10,4,3,4,3,14,50,83
Armenia,PF,5,4,1,1,2,4,2,2,1,2,7,1,1,2,4,0,15,2,2,2,3,9,2,2,2,6,1,1,2,2,6,3,2,2,2,9,30,45
Australia,F,1,1,4,4,4,12,4,4,4,4,16,4,4,4,12,0,40,4,4,4,4,16,4,4,4,12,4,4,4,3,15,4,4,4,3,15,58,98
Austria,F,1,1,4,4,4,12,4,4,4,3,15,4,3,3,10,0,37,4,3,4,4,15,4,4,4,12,4,4,4,3,15,4,4,4,3,15,57,94
Azerbaijan,NF,7,6,0,0,1,1,1,0,1,0,2,0,0,0,0,0,3,0,0,1,1,2,0,0,1,1,0,1,0,0,1,1,1,2,1,5,9,12
Bahamas,F,1,1,4,4,4,12,4,4,4,4,16,4,3,3,10,0,38,3,4,4,4,15,4,4,4,12,4,3,4,2,13,3,4,3,3,13,53,91
